Rk,Player,Age,Pos,GP,G,A,PTS,+/-,PIM,EVG,PPG,SHG,GWG,EV,PP,SH,SOG,SPCT,TSA,TOI,ATOI,FOW,FOL,FO%,BLK,HIT,TAKE,GIVE,Awards,-9999
20,Tyler Myers,35,D,57,1,7,8,-25,40,1,0,0,0,7,0,0,71,1.4,164,1152:12:00,20:13,0,0,,91,65,20,60,,myersty01
21,David Kämpf,31,C,38,2,4,6,-12,10,2,0,0,0,4,0,0,36,5.6,65,571:00:00,15:02,284,255,52.7,22,43,6,18,,kampfda01
22,Arshdeep Bains,25,F,28,1,4,5,-3,12,1,0,0,0,3,1,0,18,5.6,31,257:46:00,9:12,2,12,14.3,5,24,6,11,,bainsar01
23,Pierre-Olivier Joseph,26,D,24,1,4,5,-12,4,1,0,0,0,4,0,0,18,5.6,44,319:19:00,13:18,0,0,,19,8,6,17,,joseppi01
24,Mackenzie MacEachern,31,LW,8,1,3,4,0,12,1,0,0,0,3,0,0,6,16.7,10,81:28:00,10:11,1,1,50,6,10,1,3,,maceama01
25,Jonathan Lekkerimäki,21,RW,13,2,1,3,-3,0,2,0,0,0,1,0,0,10,20,26,151:49:00,11:41,0,0,,5,10,1,7,,lekkejo01
26,Nils Höglander,25,LW,27,1,2,3,-3,8,1,0,0,0,2,0,0,25,4,71,313:13:00,11:36,0,0,,6,37,4,16,,hoglani01
27,Filip Chytil,26,C,12,3,0,3,-7,6,3,0,0,1,0,0,0,24,12.5,40,180:04:00,15:00,60,62,49.2,4,4,4,12,,chytifi01
28,Kevin Lankinen,30,G,38,0,1,1,0,2,0,0,0,0,0,1,0,0,,0,2078:01:00,54:41:00,0,0,,0,0,0,8,,lankike01
29,Lukas Reichel,23,LW,14,0,1,1,-5,4,0,0,0,0,1,0,0,9,0,26,183:30:00,13:06,44,66,40,8,6,1,9,,reichlu01
30,Thatcher Demko,30,G,20,0,1,1,0,0,0,0,0,0,0,1,0,0,,0,1115:52:00,55:48:00,0,0,,0,0,0,9,,demkoth01
31,Victor Mancini,23,D,18,0,0,0,-10,5,0,0,0,0,0,0,0,8,0,21,249:05:00,13:50,0,0,,22,22,0,10,,mancivi01
32,Joseph LaBate,32,C,1,0,0,0,-1,0,0,0,0,0,0,0,0,2,0,3,9:32,9:32,1,1,50,2,6,0,0,,labatjo01
33,Jiří Patera,26,G,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,56:49:00,56:49:00,0,0,,0,0,0,0,,paterji01
34,Derek Forbort,33,D,2,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,27:52:00,13:56,0,0,,4,2,0,5,,forbode01
35,Curtis Douglas,25,C,3,0,0,0,-2,2,0,0,0,0,0,0,0,2,0,5,26:46:00,8:55,1,1,50,0,11,1,0,,douglcu01
36,Braeden Cootes,18,C,3,0,0,0,-2,0,0,0,0,0,0,0,0,0,,0,32:20:00,10:47,5,8,38.5,1,3,0,4,,cootebr01
37,Nikita Tolopilo,25,G,15,0,0,0,0,2,0,0,0,0,0,0,0,0,,0,826:00:00,55:04:00,0,0,,0,0,0,4,,tolopni01
38,Nils Åman,25,C,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,17:19,8:40,1,1,50,1,2,0,1,,amanni01
,Team Totals,,,68,173,286,459,-307,561,129,37,7,16,211,72,3,1784,9.7,3842,24342:06:00,18:45,1823,1897,49,934,1449,309,1067,,-9999
